user_id,create_time,rev_krw,region
400000692,2025-10-09 01:51:45.394301,1800500,jp
400000694,2025-10-09 01:58:17.555537,0,jp
400000701,2025-10-09 02:15:47.239109,149900,jp
400000708,2025-10-09 01:52:09.738666,839200,jp
400000709,2025-10-09 01:52:37.598842,3300,jp
400000710,2025-10-09 01:51:51.19572,855000,jp
400000715,2025-10-09 01:52:09.948105,219800,jp
400000719,2025-10-09 01:52:21.547939,0,jp
400000723,2025-10-09 01:53:36.331347,0,jp
400000735,2025-10-09 01:51:57.769484,220200,jp
400000737,2025-10-09 01:52:38.994149,0,jp
400000741,2025-10-09 01:52:04.737341,3800500,jp
400000743,2025-10-09 02:20:37.414658,222200,jp
400000798,2025-10-09 01:52:13.21915,49100,jp
400000800,2025-10-09 01:55:00.171632,1529500,jp
400000802,2025-10-09 01:52:06.102467,6600,jp
400000807,2025-10-09 01:52:16.237071,189000,jp
400000818,2025-10-09 01:52:29.015343,461700,jp
400000820,2025-10-09 01:52:03.770529,0,jp
400000823,2025-10-09 01:54:18.542167,230300,jp
400000827,2025-10-09 01:52:05.223169,110900,jp
400000832,2025-10-09 01:52:08.36203,217900,jp
400000835,2025-10-09 01:52:05.225381,8913900,jp
400000842,2025-10-09 01:52:08.711344,0,jp
400000844,2025-10-09 02:04:59.393668,1643800,jp
400000847,2025-10-09 01:52:14.589354,2200,jp
400000853,2025-10-09 03:46:12.883084,586500,jp
400000860,2025-10-09 01:52:06.253392,0,jp
400000863,2025-10-09 01:52:11.454116,87200,jp
400000866,2025-10-09 01:52:09.416497,0,jp
400000872,2025-10-09 01:52:14.237897,2200,jp
400000878,2025-10-09 01:52:34.480864,1100,jp
400000879,2025-10-09 01:52:11.316154,730400,jp
400000888,2025-10-09 01:52:13.306671,1517500,jp
400000898,2025-10-09 01:52:19.731637,1122200,jp
400000900,2025-10-09 01:52:26.429448,0,jp
400000906,2025-10-09 01:52:23.94158,55000,jp
400000911,2025-10-09 01:52:12.932482,2541800,jp
400000913,2025-10-09 01:52:15.512774,1100,jp
400000927,2025-10-09 01:52:31.693314,0,jp
400000929,2025-10-09 01:52:47.689538,1420900,jp
400000931,2025-10-09 01:52:18.254069,703100,jp
400000937,2025-10-09 01:52:37.744819,142100,jp
400000940,2025-10-09 01:52:20.765116,0,jp
400000941,2025-10-09 01:52:24.935099,3300,jp
400000942,2025-10-09 01:52:34.989636,0,jp
400000952,2025-10-09 02:18:38.337605,0,jp
400000956,2025-10-09 01:52:24.858689,1100,jp
400000959,2025-10-09 01:53:44.177923,0,jp
400000964,2025-10-09 01:52:29.632132,3087200,jp
400000972,2025-10-09 01:52:35.293426,546400,jp
400000973,2025-10-09 01:52:46.882474,105900,jp
400000977,2025-10-09 01:52:24.841844,195700,jp
400000980,2025-10-09 01:52:31.214086,622100,jp
400000987,2025-10-09 01:52:31.288073,9142300,jp
400000990,2025-10-09 02:26:51.138064,0,jp
400000994,2025-10-09 02:19:20.849946,1100,jp
400000995,2025-10-09 01:52:27.325692,0,jp
400000998,2025-10-09 02:05:12.706688,86700,jp
400001001,2025-10-09 01:52:34.758299,183000,jp
400001002,2025-10-09 01:52:36.573401,105600,jp
400001003,2025-10-09 01:57:14.434858,161200,jp
400001013,2025-10-09 01:52:33.178154,1538800,jp
400001016,2025-10-09 06:36:06.553044,0,jp
400001017,2025-10-09 01:52:39.250523,0,jp
400001022,2025-10-09 01:52:40.522201,1229800,jp
400001028,2025-10-09 01:52:39.017131,114500,jp
400001029,2025-10-09 01:52:46.471736,0,jp
400001034,2025-10-09 01:52:50.622384,2225100,jp
400001037,2025-10-09 02:18:42.309122,66300,jp
400001039,2025-10-09 01:52:52.876716,1100,jp
400001040,2025-10-09 01:52:39.403616,629100,jp
400001050,2025-10-09 01:53:09.703059,0,jp
400001068,2025-10-09 01:57:15.172129,0,jp
400001070,2025-10-09 02:10:00.634137,799400,jp
400001076,2025-10-09 02:01:17.622532,86700,jp
400001079,2025-10-09 01:52:56.790195,281400,jp
400001080,2025-10-09 01:52:41.308871,574300,jp
400001084,2025-10-09 01:52:47.845799,49500,jp
400001089,2025-10-09 01:53:11.602433,1100,jp
400001094,2025-10-09 01:52:43.910633,7700,jp
400001096,2025-10-09 01:53:03.198587,0,jp
400001106,2025-10-09 01:54:28.275393,0,jp
400001108,2025-10-09 01:56:26.447131,1100,jp
400001118,2025-10-09 01:52:52.041988,1100,jp
400001122,2025-10-09 01:52:47.494134,0,jp
400001128,2025-10-09 01:53:38.49943,0,jp
400001130,2025-10-09 01:53:00.545039,2200,jp
